created_at,posted_on_fb,parent_comment_id,highlight_level,comment_type,user_id,depth,extended_comment,source,nb_points,tv_show_name,spoiler_count,posted_on_twitter,nb_likes,updated_at,episode_id,comment,unappropriate_count,lang,valid,same_ip_likes,episode_season_number,id,episode_number
2018-06-29 10:59:17,0,,5,comment,21667900,0,null,mobile,10,Sense8,0,0,2,2018-08-27 10:48:46,6075851,Oh my God! My sister is fucking terminator. 😂😂😂,0,fy,0,2,2,13088259,10
2018-07-04 12:32:42,0,,5,comment,21667900,0,null,mobile,0,The Last Kingdom,0,0,1,2018-07-04 12:32:47,6002312,Prettiest sight for eyes 👀,0,en,0,1,2,13143419,3
2018-07-06 01:41:41,0,,5,comment,21667900,0,null,mobile,40,The Last Kingdom,0,0,5,2023-05-14 05:20:53,6028330,I love Eric 😍😍😍😍😍😍,0,en,0,1,2,13162491,7
2018-07-06 10:58:40,0,,5,comment,21667900,0,null,mobile,70,The Handmaid's Tale,0,0,8,2018-08-27 10:48:45,6741827,"Elizabeth moss totally killed it. 😘 😍
Such an fantastic acting ❤️😭👌",0,en,0,1,2,13165701,11
2018-07-06 13:46:22,0,13165701,5,comment,21667900,1,null,mobile,0,The Handmaid's Tale,0,0,0,2018-07-06 13:46:22,6741827,Lol 😂 😂 i just realized that i typed 'an'. 😁😜,0,fy,0,0,2,13166863,11
2018-07-06 16:43:36,0,,5,comment,21667900,0,null,mobile,140,The Handmaid's Tale,0,0,15,2018-08-27 10:48:44,6680177,Don't know how this season is going to end...,0,en,0,1,2,13168440,12
2018-07-07 16:30:39,0,,5,comment,21667900,0,null,mobile,10,Alias Grace,0,0,2,2018-11-20 14:42:37,6118419,I'm hooked 😘😘,0,en,0,1,1,13179589,1
2018-07-09 11:44:52,0,,5,comment,21667900,0,null,mobile,320,Anne with an E,0,0,33,2020-02-03 09:48:16,5936523,Anne is truly wonderful ❤️👍,0,en,0,1,1,13200186,1
2018-07-11 13:04:46,0,,5,comment,21667900,0,null,mobile,0,Anne with an E,0,0,1,2018-07-11 13:04:48,6039007,Verge of meltdown 😢😢😭😭,0,en,0,1,1,13225624,6
2018-07-11 16:13:21,0,,5,comment,21667900,0,null,mobile,10,Anne with an E,0,0,2,2018-07-15 11:45:41,6039008,Who's ready for season 2?,0,en,0,1,1,13227720,7
2018-07-13 13:21:26,0,,5,comment,21667900,0,null,mobile,10,The Handmaid's Tale,0,0,2,2018-08-27 10:48:43,6738344,I love this man! 😍❤️,0,en,0,1,2,13254048,13
2018-07-13 13:22:27,0,,5,comment,21667900,0,null,mobile,10,The Handmaid's Tale,0,0,2,2018-08-27 10:48:42,6738344,OMG! Throughout whole episode I'm like,0,af,0,1,2,13254058,13
2018-07-13 13:23:07,0,,5,comment,21667900,0,null,mobile,10,The Handmaid's Tale,0,0,2,2018-08-27 10:48:41,6738344,That's our girl 👧 😘😘👌👌,0,en,0,1,2,13254065,13
2018-07-13 13:25:49,0,,5,comment,21667900,0,null,mobile,10,The Handmaid's Tale,0,0,2,2018-08-27 10:48:39,6738344,"June- Call her Nichole
Me-",0,en,0,1,2,13254089,13
2018-07-13 13:28:29,0,,5,comment,21667900,0,null,mobile,10,The Handmaid's Tale,0,0,2,2018-08-27 10:48:38,6738344,"Am I the only one who felt bad for aunt Lydia?
She's good person (not entirely but she cared about Handmaids). She doesn't  deserve backstabbing. 😭😭😭",0,en,0,1,2,13254113,13
