episode_id,emotion_id,created_at,updated_at,tv_show_name,episode_season_number,episode_number,user_id
155935,3,2018-09-24 16:18:54,2018-09-24 16:18:54,Avatar: The Last Airbender,1,1,21667900
3254641,3,2018-07-10 16:22:37,2018-07-10 16:22:37,Game of Thrones,1,1,21667900
4063481,3,2018-10-29 05:56:24,2018-10-29 05:56:24,Game of Thrones,1,9,21667900
4411361,3,2019-04-13 09:20:13,2019-04-13 09:20:13,House of Cards (US),1,1,21667900
4423637,3,2018-12-17 16:32:07,2018-12-17 16:32:07,The Men Who Built America,1,2,21667900
4481708,3,2019-04-13 10:14:35,2019-04-13 10:14:35,House of Cards (US),1,2,21667900
4481709,1,2019-04-13 11:19:45,2019-04-13 11:19:45,House of Cards (US),1,3,21667900
4481710,3,2019-04-13 12:17:19,2019-04-13 12:17:19,House of Cards (US),1,4,21667900
4481711,3,2019-04-13 13:24:38,2019-04-13 13:24:38,House of Cards (US),1,5,21667900
4481712,1,2019-04-13 16:32:31,2019-04-13 16:32:31,House of Cards (US),1,6,21667900
4481713,1,2019-04-15 10:35:16,2019-04-15 10:35:16,House of Cards (US),1,7,21667900
4481714,1,2019-04-15 11:50:53,2019-04-15 11:50:53,House of Cards (US),1,8,21667900
4481715,3,2019-04-15 13:09:47,2019-04-15 13:09:47,House of Cards (US),1,9,21667900
4481716,3,2019-04-15 16:29:23,2019-04-15 16:29:23,House of Cards (US),1,10,21667900
4517465,4,2018-10-29 05:57:22,2018-10-29 05:57:22,Game of Thrones,3,9,21667900
4553040,3,2018-09-03 16:04:40,2018-09-03 16:04:40,Breaking Bad,5,14,21667900
4592328,1,2018-12-22 05:08:40,2018-12-22 05:08:40,True Detective,1,1,21667900
4592329,3,2018-12-22 09:57:33,2018-12-22 09:57:33,True Detective,1,2,21667900
4592330,1,2018-12-22 11:01:22,2018-12-22 11:01:22,True Detective,1,3,21667900
4592331,3,2018-12-23 05:55:20,2018-12-23 05:55:20,True Detective,1,4,21667900
4592332,3,2018-12-23 09:31:34,2018-12-23 09:31:34,True Detective,1,5,21667900
4596699,1,2019-01-07 16:45:11,2019-01-07 16:45:11,The Leftovers,1,1,21667900
4853144,1,2018-12-23 11:37:11,2018-12-23 11:37:11,Poldark (2015),1,1,21667900
4853145,1,2018-12-23 13:05:56,2018-12-23 13:05:56,Poldark (2015),1,2,21667900
4853146,3,2018-12-23 16:31:17,2018-12-23 16:31:18,Poldark (2015),1,3,21667900
4853147,1,2018-12-24 05:57:23,2018-12-24 05:57:23,Poldark (2015),1,4,21667900
4853148,1,2018-12-24 09:09:52,2018-12-24 09:09:52,Poldark (2015),1,5,21667900
4853149,1,2018-12-24 10:34:36,2018-12-24 10:34:36,Poldark (2015),1,6,21667900
4853150,3,2018-12-24 13:33:51,2018-12-24 13:33:51,Poldark (2015),1,7,21667900
4853151,3,2018-12-24 16:21:27,2018-12-24 16:21:27,Poldark (2015),1,8,21667900
4854796,1,2019-01-08 16:32:56,2019-01-08 16:32:56,The Leftovers,1,2,21667900
4854797,1,2019-01-09 16:23:37,2019-01-09 16:23:37,The Leftovers,1,3,21667900
5242623,3,2018-11-02 11:43:22,2018-11-02 11:43:22,American Crime Story,1,2,21667900
5245898,1,2018-12-09 10:04:20,2018-12-09 10:04:20,The Man in the High Castle,1,1,21667900
5324526,3,2018-10-10 05:53:10,2018-10-10 05:53:10,The Affair,2,10,21667900
5388443,3,2018-12-10 07:48:22,2018-12-10 07:48:22,The Man in the High Castle,1,6,21667900
5388444,1,2018-12-10 09:27:33,2018-12-10 09:27:33,The Man in the High Castle,1,7,21667900
5388446,3,2018-12-10 13:35:41,2018-12-10 13:35:41,The Man in the High Castle,1,9,21667900
5388447,3,2018-12-10 16:31:58,2018-12-10 16:31:58,The Man in the High Castle,1,10,21667900
5391641,3,2018-11-24 09:01:24,2018-11-24 09:01:24,Victoria,1,1,21667900
5411660,1,2019-03-29 05:28:52,2019-03-29 05:28:52,Making a Murderer,1,1,21667900
5434009,3,2019-03-29 05:29:06,2019-03-29 05:29:06,Making a Murderer,1,2,21667900
5541668,1,2019-04-12 16:25:03,2019-04-12 16:25:05,The Story of God with Morgan Freeman,1,1,21667900
5563916,1,2019-04-12 16:25:23,2019-04-12 16:25:23,The Story of God with Morgan Freeman,1,2,21667900
5577096,1,2018-12-11 06:15:46,2018-12-11 06:15:46,The Man in the High Castle,2,1,21667900
5600132,4,2018-07-10 16:22:01,2018-07-10 16:22:01,Game of Thrones,6,5,21667900
5624260,3,2018-07-10 16:21:49,2018-07-10 16:21:49,Game of Thrones,6,9,21667900
5624261,1,2018-07-10 16:22:20,2018-07-10 16:22:20,Game of Thrones,6,10,21667900
5671265,3,2018-12-25 05:08:22,2018-12-25 05:08:22,Poldark (2015),2,1,21667900
5714320,1,2018-11-24 09:53:15,2018-11-24 09:53:15,Victoria,1,2,21667900
5722830,3,2018-12-11 13:25:36,2018-12-11 13:25:36,The Man in the High Castle,2,2,21667900
5722831,1,2018-12-11 16:22:03,2018-12-11 16:22:03,The Man in the High Castle,2,3,21667900
5722833,3,2018-12-12 09:37:59,2018-12-12 09:37:59,The Man in the High Castle,2,5,21667900
