updated_at,tv_show_name,user_id,tv_show_id,source,created_at
2018-06-26 14:57:57,Desperate Housewives,21667900,73800,see-season,2018-06-26 14:57:57
2018-06-26 14:42:15,How I Met Your Mother,21667900,75760,see-season,2018-06-26 14:42:15
2018-06-26 14:58:23,Sex and the City,21667900,76648,see-episode,2018-06-26 14:58:23
2018-06-26 14:41:51,Friends,21667900,79168,see-season,2018-06-26 14:41:51
2018-06-26 14:45:31,Breaking Bad,21667900,81189,see-season,2018-06-26 14:45:31
2018-06-26 14:38:06,Game of Thrones,21667900,121361,onboarding,2018-06-26 14:38:06
2018-06-26 14:38:06,American Horror Story,21667900,250487,onboarding,2018-06-26 14:38:06
2020-11-20 12:58:27,Black Mirror,21667900,253463,see-episode,2020-11-20 12:58:27
2018-06-26 14:44:59,Da Vinci's Demons,21667900,259669,see-season,2018-06-26 14:44:59
2018-06-26 14:39:24,Sense8,21667900,268156,see-season,2018-06-26 14:39:24
2018-06-26 14:43:24,Narcos,21667900,282670,see-episode,2018-06-26 14:43:24
2018-06-26 14:38:06,Stranger Things,21667900,305288,onboarding,2018-06-26 14:38:06
2018-06-26 14:43:50,The Crown,21667900,305574,see-season,2018-06-26 14:43:50
2018-06-26 14:57:39,Big Little Lies,21667900,305719,see-season,2018-06-26 14:57:39
2018-06-26 14:55:31,This Is Us,21667900,311714,see-season,2018-06-26 14:55:31
2018-06-26 14:44:12,Travelers (2016),21667900,314544,see-season,2018-06-26 14:44:12
2018-06-26 14:53:00,Eyewitness,21667900,315460,see-season,2018-06-26 14:53:00
2018-06-26 14:39:16,The OA,21667900,321060,see-season,2018-06-26 14:39:16
2018-06-26 14:38:06,The Handmaid's Tale,21667900,321239,onboarding,2018-06-26 14:38:06
2018-06-26 14:38:06,13 Reasons Why,21667900,323168,onboarding,2018-06-26 14:38:06
2018-06-26 14:43:59,MINDHUNTER,21667900,328708,see-season,2018-06-26 14:43:59
2018-06-26 14:42:50,Altered Carbon,21667900,332331,see-season,2018-06-26 14:42:50
2018-06-26 14:44:22,Godless,21667900,333801,see-season,2018-06-26 14:44:22
2021-04-01 04:48:07,Collateral,21667900,336079,see-episode,2021-04-01 04:48:07
2018-06-26 14:41:31,Counterpart,21667900,337302,see-episode,2018-06-26 14:41:31
2018-06-26 14:57:06,Lost in Space (2018),21667900,343253,see-season,2018-06-26 14:57:06
2021-01-05 03:28:35,The Haunting,21667900,345246,see-season,2021-01-05 03:28:35
2022-08-31 01:39:37,Vagabond,21667900,366777,see-episode,2022-08-31 01:39:37
