meme_id,updated_at,clean_version_url,clean_version_small_url,gif_medium_url,gif_small_url,medium_url,type,has_captions,has_drawing,episode_comment_id,created_at,id,width,height,url,external,small_url,clean_version_medium_url,blurred_version_url,captions,gif_url,signature,has_stickers
5999339,2018-07-04 12:32:21,,,,,https://d12qk6n9ersps4.cloudfront.net/5999339/medium-marked.jpg,meme,0,0,13143419,2018-07-04 12:32:20,5999339,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/5999339/medium-clean.jpg,,null,,,0
6048333,2018-07-13 13:21:14,,,,,https://d12qk6n9ersps4.cloudfront.net/6048333/medium-marked.jpg,meme,0,0,13254048,2018-07-13 13:21:13,6048333,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6048333/medium-clean.jpg,,null,,,0
6048338,2018-07-13 13:22:27,,,,,https://media.tenor.co/images/e356deeba608e05e43fa742429110bb9/tenor.gif,gif,0,0,13254058,2018-07-13 13:22:27,6048338,498,222,,0,,https://media.tenor.co/images/e356deeba608e05e43fa742429110bb9/tenor.gif,,,,,0
6048342,2018-07-13 13:23:03,,,,,https://d12qk6n9ersps4.cloudfront.net/6048342/medium-marked.jpg,meme,0,0,13254065,2018-07-13 13:23:02,6048342,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6048342/medium-clean.jpg,,null,,,0
6048353,2018-07-13 13:25:49,,,,,https://media.tenor.co/images/d92a5f73ae91f9ed7c520d7ecbcbfa13/tenor.gif,gif,0,0,13254089,2018-07-13 13:25:49,6048353,497,249,,0,,https://media.tenor.co/images/d92a5f73ae91f9ed7c520d7ecbcbfa13/tenor.gif,,,,,0
6138863,2018-07-29 05:46:53,,,,,https://media.tenor.co/images/de32b882a04a99b249d2e2b3c55e8f89/tenor.gif,gif,0,0,13459633,2018-07-29 05:46:53,6138863,224,126,,0,,https://media.tenor.co/images/de32b882a04a99b249d2e2b3c55e8f89/tenor.gif,,,,,0
6184091,2018-08-05 14:02:20,,,,,https://d12qk6n9ersps4.cloudfront.net/6184091/medium-marked.jpg,meme,0,0,13565077,2018-08-05 14:02:20,6184091,800,800,,1,,https://d12qk6n9ersps4.cloudfront.net/6184091/medium-clean.jpg,,null,,,0
6188149,2018-08-06 05:43:05,,,,,https://d12qk6n9ersps4.cloudfront.net/6188149/medium-marked.jpg,meme,0,0,13574881,2018-08-06 05:43:05,6188149,650,1024,,1,,https://d12qk6n9ersps4.cloudfront.net/6188149/medium-clean.jpg,,null,,,0
6188156,2018-08-06 05:45:10,,,,,https://d12qk6n9ersps4.cloudfront.net/6188156/medium-marked.jpg,meme,0,0,13574895,2018-08-06 05:45:09,6188156,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6188156/medium-clean.jpg,,null,,,0
6188163,2018-08-06 05:48:16,,,,,https://media.tenor.co/images/8f0dd09a3b40eb91e79808f0881b240c/tenor.gif,gif,0,0,13574909,2018-08-06 05:48:16,6188163,400,224,,0,,https://media.tenor.co/images/8f0dd09a3b40eb91e79808f0881b240c/tenor.gif,,,,,0
6188185,2018-08-06 05:56:00,,,,,https://d12qk6n9ersps4.cloudfront.net/6188185/medium-marked.jpg,meme,0,0,13574958,2018-08-06 05:55:59,6188185,720,720,,1,,https://d12qk6n9ersps4.cloudfront.net/6188185/medium-clean.jpg,,null,,,0
6188616,2018-08-06 09:21:08,,,,,https://d12qk6n9ersps4.cloudfront.net/6188616/medium-marked.jpg,meme,0,0,13575958,2018-08-06 09:21:08,6188616,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6188616/medium-clean.jpg,,null,,,0
6198172,2018-08-08 04:53:01,,,,,https://media.tenor.co/images/ed0bc2c2d92398264ca22a80325f07a4/tenor.gif,gif,0,0,13598900,2018-08-08 04:53:01,6198172,245,200,,0,,https://media.tenor.co/images/ed0bc2c2d92398264ca22a80325f07a4/tenor.gif,,,,,0
6234862,2018-08-15 08:51:47,,,,,https://media.tenor.co/images/1bec30053a43304cfc600935934b5b8f/tenor.gif,gif,0,0,13686475,2018-08-15 08:51:47,6234862,498,474,,0,,https://media.tenor.co/images/1bec30053a43304cfc600935934b5b8f/tenor.gif,,,,,0
6239476,2018-08-16 09:10:46,,,,,https://media.tenor.co/images/086385aaafe4ab98293da7fc1c770b87/tenor.gif,gif,0,0,13698088,2018-08-16 09:10:46,6239476,498,278,,0,,https://media.tenor.co/images/086385aaafe4ab98293da7fc1c770b87/tenor.gif,,,,,0
6302680,2018-08-29 11:06:17,,,,,https://media.tenor.co/images/147a562dc7dd20be67f8fafe36656cf3/tenor.gif,gif,0,0,13849404,2018-08-29 11:06:17,6302680,498,235,,0,,https://media.tenor.co/images/147a562dc7dd20be67f8fafe36656cf3/tenor.gif,,,,,0
6357668,2018-09-09 04:47:50,,,,,https://media.tenor.co/images/e491081bcb138c9c557bdb6415a7b604/tenor.gif,gif,0,0,13979540,2018-09-09 04:47:50,6357668,370,300,,0,,https://media.tenor.co/images/e491081bcb138c9c557bdb6415a7b604/tenor.gif,,,,,0
6425949,2018-09-23 04:48:07,,,,,https://media.tenor.co/images/7a25060bf60edbb6d11ce800f0a9e532/tenor.gif,gif,0,0,14146291,2018-09-23 04:48:07,6425949,498,211,,0,,https://media.tenor.co/images/7a25060bf60edbb6d11ce800f0a9e532/tenor.gif,,,,,0
6431925,2018-09-24 10:30:26,,,,,https://d12qk6n9ersps4.cloudfront.net/6431925/medium-marked.jpg,meme,0,0,14160690,2018-09-24 10:30:26,6431925,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6431925/medium-clean.jpg,,null,,,0
6431967,2018-09-24 11:03:18,,,,,https://d12qk6n9ersps4.cloudfront.net/6431967/medium-marked.jpg,meme,0,0,14160840,2018-09-24 11:03:17,6431967,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6431967/medium-clean.jpg,,null,,,0
6432501,2018-09-24 13:54:52,,,,,https://d12qk6n9ersps4.cloudfront.net/6432501/medium-marked.jpg,meme,0,0,14162065,2018-09-24 13:54:52,6432501,800,450,,1,,https://d12qk6n9ersps4.cloudfront.net/6432501/medium-clean.jpg,,null,,,0
