object_id,type,sound,time,title,image,html_text,read,url,text,object_type,user_id,is_read,badge,data,date,badge_name,objects,web_url,nb_likes
0,mentioned-in-comment,notif.caf,1562409187353,,https://d1zfszn0v5ya99.cloudfront.net/user/18397193/profile_picture/5bcdf32b94ae2_small.png,"<a href=""tvst://user/18397193/detail"" class='user'>Lucky Luciano</a> mentioned you in a comment about episode <a href=""tvst://show/305288/episode/6934001/detail"" class='episode'>S03E06</a> of <a href=""tvst://show/305288/detail"" class='show'>Stranger Things</a>",true,tvst://show/305288/episode/6934001/comment/17845747,Lucky Luciano mentioned you in a comment about episode S03E06 of Stranger Things,none,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""image"":""https://d1zfszn0v5ya99.cloudfront.net/user/18397193/profile_picture/5bcdf32b94ae2_small.png"",""loc-key"":""Lucky Luciano mentioned you in a comment about episode S03E06 of Stranger Things"",""n"":""Stranger Things"",""notification_id"":""mentioned-in-comment"",""url"":""tvst://show/305288/episode/6934001/comment/17845747""}",,,,,
0,mentioned-in-comment,notif.caf,1562441168222,,https://d1zfszn0v5ya99.cloudfront.net/user/6005263/profile_picture/5b9d7b07ebf30_small.png,"<a href=""tvst://user/6005263/detail"" class='user'>muriloHM</a> mentioned you in a comment about episode <a href=""tvst://show/305288/episode/6934001/detail"" class='episode'>S03E06</a> of <a href=""tvst://show/305288/detail"" class='show'>Stranger Things</a>",true,tvst://show/305288/episode/6934001/comment/17845747,muriloHM mentioned you in a comment about episode S03E06 of Stranger Things,none,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""image"":""https://d1zfszn0v5ya99.cloudfront.net/user/6005263/profile_picture/5b9d7b07ebf30_small.png"",""loc-key"":""muriloHM mentioned you in a comment about episode S03E06 of Stranger Things"",""n"":""Stranger Things"",""notification_id"":""mentioned-in-comment"",""url"":""tvst://show/305288/episode/6934001/comment/17845747""}",,,,,
0,mentioned-in-comment,notif.caf,1562702925392,,https://d1zfszn0v5ya99.cloudfront.net/user/1759641/profile_picture/57b39f77076b0_small.png,"<a href=""tvst://user/1759641/detail"" class='user'>Selma B</a> mentioned you in a comment about episode <a href=""tvst://show/305288/episode/6934001/detail"" class='episode'>S03E06</a> of <a href=""tvst://show/305288/detail"" class='show'>Stranger Things</a>",true,tvst://show/305288/episode/6934001/comment/17845747,Selma B mentioned you in a comment about episode S03E06 of Stranger Things,none,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""image"":""https://d1zfszn0v5ya99.cloudfront.net/user/1759641/profile_picture/57b39f77076b0_small.png"",""loc-key"":""Selma B mentioned you in a comment about episode S03E06 of Stranger Things"",""n"":""Stranger Things"",""notification_id"":""mentioned-in-comment"",""url"":""tvst://show/305288/episode/6934001/comment/17845747""}",,,,,
7447927,episode-reply-liked,notif.caf,1574551202230,,https://d1zfszn0v5ya99.cloudfront.net/user/30707780/profile_picture/5d0d5ecc91672_large.png,<a href='tvst://user/30707780/profile>هند .</a> liked a reply you made about a comment on episode <a href='tvst://show/305574/episode/7447927/detail'>S03 | E05</a> of <a href='tvst://show/305574/detail'>The Crown</a>,true,tvst://show/305574/episode/7447927/comment/19221162,هند . liked a reply you made about a comment on episode S03 | E05 of The Crown,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""هند . liked a reply you made about a comment on episode S03 | E05 of The Crown"",""notification_id"":""episode-reply-liked"",""url"":""tvst://show/305574/episode/7447927/comment/19221162"",""web_url"":""https://www.tvtime.com/show/305574/episode/7447927/comment/19221162""}",,,,,
7191325,episode-reply-liked,notif.caf,1575161892331,,https://d1zfszn0v5ya99.cloudfront.net/user/6595128/profile_picture/5b4a6588de821_large.png,<a href='tvst://user/6595128/profile'>inestopia</a> liked a reply you made about a comment on episode <a href='tvst://show/360261/episode/7191325/detail'>S01 | E03</a> of <a href='tvst://show/360261/detail'>Euphoria (US)</a>,true,tvst://show/360261/episode/7191325/comment/17812873,inestopia liked a reply you made about a comment on episode S01 | E03 of Euphoria (US),episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""inestopia liked a reply you made about a comment on episode S01 | E03 of Euphoria (US)"",""notification_id"":""episode-reply-liked"",""url"":""tvst://show/360261/episode/7191325/comment/17812873"",""web_url"":""https://www.tvtime.com/show/360261/episode/7191325/comment/17812873""}",,,,,
4938333,episode-reply-liked,notif.caf,1576158484571,,https://d1zfszn0v5ya99.cloudfront.net/user/18856775/profile_picture/5cd0313be9a71_large.png,<a href='tvst://user/18856775/profile'>CiaKal</a> liked a reply you made about a comment on episode <a href='tvst://show/267907/episode/4938333/detail'>S02 | E10</a> of <a href='tvst://show/267907/detail'>The Fosters (2013)</a>,true,tvst://show/267907/episode/4938333/comment/14791508,CiaKal liked a reply you made about a comment on episode S02 | E10 of The Fosters (2013),episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""CiaKal liked a reply you made about a comment on episode S02 | E10 of The Fosters (2013)"",""notification_id"":""episode-reply-liked"",""url"":""tvst://show/267907/episode/4938333/comment/14791508"",""web_url"":""https://www.tvtime.com/show/267907/episode/4938333/comment/14791508""}",,,,,
6891638,episode-reply-liked,notif.caf,1576523883795,,https://d1zfszn0v5ya99.cloudfront.net/user/4221656/profile_picture/5bdb8a83041c6_large.png,<a href='tvst://user/4221656/profile'>maïlème</a> liked a reply you made about a comment on episode <a href='tvst://show/270408/episode/6891638/detail'>S04 | E08</a> of <a href='tvst://show/270408/detail'>Outlander</a>,true,tvst://show/270408/episode/6891638/comment/15414309,maïlème liked a reply you made about a comment on episode S04 | E08 of Outlander,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""maïlème liked a reply you made about a comment on episode S04 | E08 of Outlander"",""notification_id"":""episode-reply-liked"",""url"":""tvst://show/270408/episode/6891638/comment/15414309"",""web_url"":""https://www.tvtime.com/show/270408/episode/6891638/comment/15414309""}",,,,,
5361083,episode-comment-liked,notif.caf,1576617214294,,https://d1zfszn0v5ya99.cloudfront.net/user/22059654/profile_picture/5d8699379553b_large.png,<a href='tvst://user/22059654/profile'>georgette</a> liked a comment you made about episode <a href='tvst://show/266883/episode/5361083/detail'>S03 | E09</a> of <a href='tvst://show/266883/detail'>The Originals</a>,true,tvst://show/266883/episode/5361083/comment/13894272,georgette liked a comment you made about episode S03 | E09 of The Originals,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""georgette liked a comment you made about episode S03 | E09 of The Originals"",""notification_id"":""episode-comment-liked"",""url"":""tvst://show/266883/episode/5361083/comment/13894272"",""web_url"":""https://www.tvtime.com/show/266883/episode/5361083/comment/13894272""}",,,,,
7428555,episode-comment-liked,notif.caf,1576843525343,,https://d1zfszn0v5ya99.cloudfront.net/user/21667900/profile_picture/5b35cb315db17_large.png,<a href='tvst://user/21667900/profile'>imjimil</a> liked a comment you made about episode <a href='tvst://show/362696/episode/7428555/detail'>S01 | E01</a> of <a href='tvst://show/362696/detail'>The Witcher</a>,true,tvst://show/362696/episode/7428555/comment/19429840,imjimil liked a comment you made about episode S01 | E01 of The Witcher,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""imjimil liked a comment you made about episode S01 | E01 of The Witcher"",""notification_id"":""episode-comment-liked"",""url"":""tvst://show/362696/episode/7428555/comment/19429840"",""web_url"":""https://www.tvtime.com/show/362696/episode/7428555/comment/19429840""}",,,,,
6905975,episode-comment-liked,notif.caf,1576901054647,,https://d1zfszn0v5ya99.cloudfront.net/user/24312061/profile_picture/5d36ec2556a02_large.png,Your comment about episode <a href='tvst://show/260449/episode/6905975/detail'>S05 | E13</a> of <a href='tvst://show/260449/detail'>Vikings</a> reached 200 likes,true,tvst://show/260449/episode/6905975/comment/15306042,Your comment about episode S05 | E13 of Vikings reached 200 likes,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""Your comment about episode S05 | E13 of Vikings reached 200 likes"",""notification_id"":""episode-comment-liked"",""url"":""tvst://show/260449/episode/6905975/comment/15306042"",""web_url"":""https://www.tvtime.com/show/260449/episode/6905975/comment/15306042""}",,,,,
7428555,episode-comment-liked,notif.caf,1576918579626,,https://d1zfszn0v5ya99.cloudfront.net/user/19628009/profile_picture/5cc436529dd11_large.png,<a href='tvst://user/19628009/profile'>Zuzanga💕</a> liked a comment you made about episode <a href='tvst://show/362696/episode/7428555/detail'>S01 | E01</a> of <a href='tvst://show/362696/detail'>The Witcher</a>,true,tvst://show/362696/episode/7428555/comment/19429840,Zuzanga💕 liked a comment you made about episode S01 | E01 of The Witcher,episode,21667900,false,1,"{""action"":""com.tozelabs.tvshowtime.NOTIFICATION"",""category"":""notification-category-reaction"",""loc-key"":""Zuzanga💕 liked a comment you made about episode S01 | E01 of The Witcher"",""notification_id"":""episode-comment-liked"",""url"":""tvst://show/362696/episode/7428555/comment/19429840"",""web_url"":""https://www.tvtime.com/show/362696/episode/7428555/comment/19429840""}",,,,,
