updated_at,user_id,object_type,object_id,source,created_at
2018-09-30 10:07:49,21667900,poll,1004,mobile,2018-09-30 10:07:49
2018-11-11 12:15:52,21667900,poll,1021,mobile,2018-11-11 12:15:52
2018-09-30 12:59:44,21667900,poll,1040,mobile,2018-09-30 12:59:44
2018-09-23 05:49:48,21667900,poll,1050,mobile,2018-09-23 05:49:48
2018-11-11 16:22:16,21667900,poll,1061,mobile,2018-11-11 16:22:16
2018-11-11 17:15:13,21667900,poll,1088,mobile,2018-11-11 17:15:13
2018-10-25 13:38:49,21667900,poll,1171,mobile,2018-10-25 13:38:49
2018-11-12 13:26:04,21667900,poll,1176,mobile,2018-11-12 13:26:04
2018-07-26 16:45:08,21667900,poll,715,mobile,2018-07-26 16:45:08
2018-09-29 05:04:06,21667900,poll,965,mobile,2018-09-29 05:04:06
2018-11-11 10:37:38,21667900,poll,986,mobile,2018-11-11 10:37:38
2018-10-22 04:21:16,21667900,user-video,12930,mobile,2018-10-22 04:21:16
2018-10-22 04:20:54,21667900,user-video,12944,mobile,2018-10-22 04:20:54
2018-08-03 05:00:00,21667900,user-video,8589,mobile,2018-08-03 05:00:00
