series_name,season_number,episode_number,user_id,episode_id,vote_key
Band of Brothers,1,1,21667900,141245,141245-21667900-5
Band of Brothers,1,1,21667900,141245,141245-21667900-29
Angels in America,1,1,21667900,307266,307266-21667900-3
The Tudors,1,1,21667900,326715,326715-21667900-28
Toradora!,1,25,21667900,440752,440752-21667900-3
Fullmetal Alchemist: Brotherhood,1,1,21667900,501751,501751-21667900-29
Fullmetal Alchemist: Brotherhood,1,19,21667900,879161,879161-21667900-3
Fullmetal Alchemist: Brotherhood,1,27,21667900,1158051,1158051-21667900-29
The Office (US),7,22,21667900,3941411,3941411-21667900-3
The Office (US),7,23,21667900,3941421,3941421-21667900-28
Homeland,1,1,21667900,4079947,4079947-21667900-29
Homeland,1,2,21667900,4175251,4175251-21667900-29
Homeland,1,3,21667900,4175252,4175252-21667900-3
Homeland,1,4,21667900,4175253,4175253-21667900-3
Homeland,1,5,21667900,4175254,4175254-21667900-3
Homeland,1,6,21667900,4175255,4175255-21667900-3
Homeland,1,7,21667900,4175256,4175256-21667900-3
Homeland,1,8,21667900,4182830,4182830-21667900-3
Homeland,1,9,21667900,4198125,4198125-21667900-3
Homeland,1,10,21667900,4198126,4198126-21667900-3
Homeland,1,11,21667900,4198127,4198127-21667900-3
Homeland,1,12,21667900,4198128,4198128-21667900-3
Hung,3,10,21667900,4208116,4208116-21667900-27
Homeland,2,1,21667900,4303747,4303747-21667900-3
Homeland,2,2,21667900,4333794,4333794-21667900-3
Homeland,2,3,21667900,4333795,4333795-21667900-3
Homeland,2,4,21667900,4336562,4336562-21667900-3
Homeland,2,6,21667900,4366700,4366700-21667900-3
Homeland,2,7,21667900,4366701,4366701-21667900-29
Homeland,2,5,21667900,4376938,4376938-21667900-3
Homeland,2,8,21667900,4382125,4382125-21667900-3
Homeland,2,9,21667900,4382126,4382126-21667900-3
Homeland,2,10,21667900,4402617,4402617-21667900-3
Homeland,2,11,21667900,4402619,4402619-21667900-3
Homeland,2,12,21667900,4402622,4402622-21667900-3
House of Cards (US),1,1,21667900,4411361,4411361-21667900-3
The Men Who Built America,1,2,21667900,4423637,4423637-21667900-20
House of Cards (US),1,2,21667900,4481708,4481708-21667900-3
House of Cards (US),1,3,21667900,4481709,4481709-21667900-5
House of Cards (US),1,4,21667900,4481710,4481710-21667900-3
House of Cards (US),1,5,21667900,4481711,4481711-21667900-3
House of Cards (US),1,6,21667900,4481712,4481712-21667900-5
House of Cards (US),1,7,21667900,4481713,4481713-21667900-5
House of Cards (US),1,8,21667900,4481714,4481714-21667900-5
House of Cards (US),1,9,21667900,4481715,4481715-21667900-3
House of Cards (US),1,10,21667900,4481716,4481716-21667900-3
Broadchurch,1,1,21667900,4490875,4490875-21667900-3
Homeland,3,1,21667900,4508211,4508211-21667900-29
Broadchurch,1,5,21667900,4520960,4520960-21667900-3
Broadchurch,1,8,21667900,4520963,4520963-21667900-3
Suits,3,2,21667900,4559295,4559295-21667900-29
Homeland,3,2,21667900,4562419,4562419-21667900-29
Homeland,3,3,21667900,4591566,4591566-21667900-29
Homeland,3,4,21667900,4591568,4591568-21667900-29
True Detective,1,1,21667900,4592328,4592328-21667900-19
True Detective,1,2,21667900,4592329,4592329-21667900-20
True Detective,1,3,21667900,4592330,4592330-21667900-19
True Detective,1,4,21667900,4592331,4592331-21667900-20
True Detective,1,5,21667900,4592332,4592332-21667900-20
Quarry,1,1,21667900,4596698,4596698-21667900-3
The Leftovers,1,1,21667900,4596699,4596699-21667900-19
Homeland,3,5,21667900,4597331,4597331-21667900-29
Homeland,3,6,21667900,4611506,4611506-21667900-29
Homeland,3,7,21667900,4611507,4611507-21667900-29
Fargo,1,1,21667900,4626050,4626050-21667900-3
Better Call Saul,1,1,21667900,4663020,4663020-21667900-3
Homeland,3,8,21667900,4663897,4663897-21667900-3
Homeland,3,9,21667900,4663898,4663898-21667900-3
Homeland,3,10,21667900,4663899,4663899-21667900-3
Homeland,3,11,21667900,4675715,4675715-21667900-3
Homeland,3,12,21667900,4675716,4675716-21667900-3
Suits,3,16,21667900,4676429,4676429-21667900-3
Fargo,1,2,21667900,4808528,4808528-21667900-29
Fargo,1,3,21667900,4808529,4808529-21667900-29
Fargo,1,4,21667900,4808530,4808530-21667900-29
Fargo,1,5,21667900,4808531,4808531-21667900-29
Fargo,1,6,21667900,4808533,4808533-21667900-3
Fargo,1,7,21667900,4808534,4808534-21667900-3
Fargo,1,8,21667900,4808535,4808535-21667900-3
Fargo,1,9,21667900,4808536,4808536-21667900-3
Fargo,1,10,21667900,4808538,4808538-21667900-3
Olive Kitteridge,1,1,21667900,4823565,4823565-21667900-5
Olive Kitteridge,1,1,21667900,4823565,4823565-21667900-29
Olive Kitteridge,1,2,21667900,4823566,4823566-21667900-5
Olive Kitteridge,1,2,21667900,4823566,4823566-21667900-29
Olive Kitteridge,1,3,21667900,4823567,4823567-21667900-29
Olive Kitteridge,1,3,21667900,4823567,4823567-21667900-5
Olive Kitteridge,1,4,21667900,4823568,4823568-21667900-5
Olive Kitteridge,1,4,21667900,4823568,4823568-21667900-29
Blue Spring Ride,1,1,21667900,4825726,4825726-21667900-29
Poldark (2015),1,1,21667900,4853144,4853144-21667900-19
Poldark (2015),1,2,21667900,4853145,4853145-21667900-19
Poldark (2015),1,3,21667900,4853146,4853146-21667900-20
Poldark (2015),1,3,21667900,4853146,4853146-21667900-19
Poldark (2015),1,4,21667900,4853147,4853147-21667900-19
Poldark (2015),1,5,21667900,4853148,4853148-21667900-19
Poldark (2015),1,6,21667900,4853149,4853149-21667900-19
Poldark (2015),1,7,21667900,4853150,4853150-21667900-20
Poldark (2015),1,8,21667900,4853151,4853151-21667900-20
The Leftovers,1,2,21667900,4854796,4854796-21667900-19
The Leftovers,1,3,21667900,4854797,4854797-21667900-19
The Leftovers,1,5,21667900,4854799,4854799-21667900-3
The Knick,1,1,21667900,4866622,4866622-21667900-29
The Leftovers,1,9,21667900,4929223,4929223-21667900-3
The Leftovers,1,10,21667900,4929224,4929224-21667900-3
The Knick,1,2,21667900,4930433,4930433-21667900-29
The Knick,1,3,21667900,4930434,4930434-21667900-29
The Knick,1,4,21667900,4930435,4930435-21667900-29
The Knick,1,5,21667900,4930436,4930436-21667900-29
