season_number,episode_number,episode_id,user_id,uuid,vote_key,series_name
1,1,141245,21667900,be5879d3-d620-4b73-bbaa-feb258bd3633,141245-21667900-5,Band of Brothers
1,1,307266,21667900,b7659e35-bac7-4dbb-905f-6ed902799589,307266-21667900-3,Angels in America
1,19,879161,21667900,b47989ef-671f-45d1-b4aa-4fe01fa528a5,879161-21667900-3,Fullmetal Alchemist: Brotherhood
1,2,4175251,21667900,c1e0ba54-abe5-4d9e-9890-f3fc4c64dd24,4175251-21667900-29,Homeland
1,3,4175252,21667900,632cb25d-08df-4064-aafb-09ba944a99ca,4175252-21667900-3,Homeland
1,4,4175253,21667900,6e34add0-8280-4f4f-b6c2-61a2be750d56,4175253-21667900-3,Homeland
1,5,4175254,21667900,4508cb7d-acd0-43f5-a979-70e51565394a,4175254-21667900-3,Homeland
1,7,4175256,21667900,36e143ae-c94c-44ee-92c2-7249f6ec47e1,4175256-21667900-3,Homeland
1,8,4182830,21667900,bf484e25-282e-48b4-9817-b8e65534413a,4182830-21667900-3,Homeland
1,9,4198125,21667900,5a4128ce-f321-4609-a313-0ca890cc8e2b,4198125-21667900-3,Homeland
1,12,4198128,21667900,f911d0ff-6d0e-44b8-9197-8bc5c81f4022,4198128-21667900-3,Homeland
3,10,4208116,21667900,b167a8d4-2c65-4186-b898-31a506dd6d9d,4208116-21667900-27,Hung
2,1,4303747,21667900,34fee8b0-642d-44a1-ac72-86b0bf9c9beb,4303747-21667900-3,Homeland
2,2,4333794,21667900,4ff2bc22-5308-4c3d-8388-5c162893d004,4333794-21667900-3,Homeland
2,3,4333795,21667900,5f17d6c4-437f-4581-840a-595d296421d8,4333795-21667900-3,Homeland
2,6,4366700,21667900,f91b8b55-704a-4943-93ae-0fc036538439,4366700-21667900-3,Homeland
2,5,4376938,21667900,092b9e70-d2c7-4bdc-84d7-53c528356346,4376938-21667900-3,Homeland
2,8,4382125,21667900,2f1fc0ff-13a2-470d-8f07-1e36cd0e7d52,4382125-21667900-3,Homeland
2,10,4402617,21667900,243351ad-d89f-4672-aa5e-68f8eac265bd,4402617-21667900-3,Homeland
2,11,4402619,21667900,75323f66-29d1-462a-9628-1edcee3a1e9a,4402619-21667900-3,Homeland
2,12,4402622,21667900,071d749e-8614-43ca-871f-51cd651700b6,4402622-21667900-3,Homeland
1,2,4423637,21667900,36758fdd-83c1-4ecf-bffb-0a04e2cec761,4423637-21667900-20,The Men Who Built America
1,5,4481711,21667900,168d85a0-9a5e-40ef-b4ed-6f66c3899845,4481711-21667900-3,House of Cards (US)
1,7,4481713,21667900,3ab04c56-4968-4004-a6a1-3ed5a7798470,4481713-21667900-5,House of Cards (US)
1,10,4481716,21667900,d417ba73-b65d-4502-821d-c81c9a32e184,4481716-21667900-3,House of Cards (US)
1,1,4490875,21667900,f3026364-4795-4215-a7f7-c0987065c84a,4490875-21667900-3,Broadchurch
1,5,4520960,21667900,365b2772-6349-46c3-b39b-30461e6cfc1b,4520960-21667900-3,Broadchurch
1,8,4520963,21667900,9f319e36-88da-44bc-9158-3906ee2e4bf0,4520963-21667900-3,Broadchurch
3,2,4562419,21667900,110e959d-5bd9-4a22-b2b2-f1089c620f28,4562419-21667900-29,Homeland
3,3,4591566,21667900,21b6e077-b5ad-47d8-b014-bd4c459cb693,4591566-21667900-29,Homeland
