episode_number,user_id,episode_id,source,created_at,updated_at,tv_show_name,episode_season_number
1,21667900,155935,season-detail,2018-09-24 16:18:40,2018-09-24 16:18:40,Avatar: The Last Airbender,1
2,21667900,155936,season-detail,2018-09-24 16:18:41,2018-09-24 16:18:41,Avatar: The Last Airbender,1
3,21667900,155937,season-detail,2018-09-25 16:23:16,2018-09-25 16:23:16,Avatar: The Last Airbender,1
4,21667900,155938,season-detail,2018-09-25 16:23:17,2018-09-25 16:23:17,Avatar: The Last Airbender,1
5,21667900,155939,season-detail,2018-09-26 13:47:40,2018-09-26 13:47:40,Avatar: The Last Airbender,1
6,21667900,155940,season-detail,2018-09-26 13:47:41,2018-09-26 13:47:41,Avatar: The Last Airbender,1
7,21667900,155941,season-detail,2018-09-26 14:20:43,2018-09-26 14:20:43,Avatar: The Last Airbender,1
8,21667900,155942,season-detail,2018-09-26 16:08:51,2018-09-26 16:08:51,Avatar: The Last Airbender,1
9,21667900,155943,season-detail,2018-09-27 16:18:11,2018-09-27 16:18:11,Avatar: The Last Airbender,1
10,21667900,155944,season-detail,2018-09-27 16:18:12,2018-09-27 16:18:12,Avatar: The Last Airbender,1
11,21667900,155945,season-detail,2018-09-28 10:13:01,2018-09-28 10:13:01,Avatar: The Last Airbender,1
12,21667900,155946,season-detail,2018-09-28 10:13:02,2018-09-28 10:13:02,Avatar: The Last Airbender,1
14,21667900,155947,season-detail,2018-09-28 13:01:28,2018-09-28 13:01:28,Avatar: The Last Airbender,1
1,21667900,205748,season-detail,2018-06-26 14:58:23,2018-06-26 14:58:23,Sex and the City,1
2,21667900,205749,season-detail,2018-06-26 14:58:23,2018-06-26 14:58:23,Sex and the City,1
3,21667900,205750,season-detail,2018-06-26 14:58:24,2018-06-26 14:58:24,Sex and the City,1
13,21667900,295482,season-detail,2018-09-28 13:01:27,2018-09-28 13:01:27,Avatar: The Last Airbender,1
17,21667900,295483,season-detail,2018-09-30 05:03:40,2018-09-30 05:03:40,Avatar: The Last Airbender,1
15,21667900,300635,season-detail,2018-09-29 08:50:17,2018-09-29 08:50:17,Avatar: The Last Airbender,1
16,21667900,301700,season-detail,2018-09-29 08:50:18,2018-09-29 08:50:18,Avatar: The Last Airbender,1
18,21667900,301701,season-detail,2018-09-30 05:03:43,2018-09-30 05:03:43,Avatar: The Last Airbender,1
19,21667900,301702,season-detail,2018-10-01 04:16:05,2018-10-01 04:16:05,Avatar: The Last Airbender,1
20,21667900,301703,season-detail,2018-10-01 04:16:06,2018-10-01 04:16:06,Avatar: The Last Airbender,1
1,21667900,302623,season-detail,2018-11-30 05:18:48,2018-11-30 05:18:48,Rome,1
2,21667900,302624,season-detail,2018-11-30 13:07:57,2018-11-30 13:07:57,Rome,1
3,21667900,302625,season-detail,2018-12-01 10:47:44,2018-12-01 10:47:44,Rome,1
4,21667900,302626,season-detail,2018-12-01 11:56:44,2018-12-01 11:56:44,Rome,1
5,21667900,302627,season-detail,2018-12-01 16:12:49,2018-12-01 16:12:49,Rome,1
6,21667900,302628,season-detail,2018-12-02 05:47:54,2018-12-02 05:47:54,Rome,1
7,21667900,302629,season-detail,2018-12-03 05:58:17,2018-12-03 05:58:17,Rome,1
8,21667900,302630,season-detail,2018-12-03 09:59:56,2018-12-03 09:59:56,Rome,1
9,21667900,302631,season-detail,2018-12-03 16:30:54,2018-12-03 16:30:54,Rome,1
1,21667900,306981,season-detail,2018-10-01 04:51:48,2018-10-01 04:51:48,Avatar: The Last Airbender,2
2,21667900,306982,season-detail,2018-10-01 08:16:23,2018-10-01 08:16:23,Avatar: The Last Airbender,2
3,21667900,306983,season-detail,2018-10-01 09:13:59,2018-10-01 09:13:59,Avatar: The Last Airbender,2
4,21667900,306984,season-detail,2018-10-01 09:14:00,2018-10-01 09:14:00,Avatar: The Last Airbender,2
5,21667900,307195,season-detail,2018-10-01 11:44:00,2018-10-01 11:44:00,Avatar: The Last Airbender,2
6,21667900,307196,season-detail,2018-10-01 11:44:01,2018-10-01 11:44:01,Avatar: The Last Airbender,2
7,21667900,307197,season-detail,2018-10-01 12:17:26,2018-10-01 12:17:26,Avatar: The Last Airbender,2
8,21667900,307198,season-detail,2018-10-01 13:11:16,2018-10-01 13:11:16,Avatar: The Last Airbender,2
9,21667900,307199,season-detail,2018-10-01 13:11:29,2018-10-01 13:11:29,Avatar: The Last Airbender,2
10,21667900,310035,season-detail,2018-10-01 16:18:21,2018-10-01 16:18:21,Avatar: The Last Airbender,2
11,21667900,310036,season-detail,2018-10-01 16:18:22,2018-10-01 16:18:22,Avatar: The Last Airbender,2
12,21667900,310037,season-detail,2018-10-01 17:08:27,2018-10-01 17:08:27,Avatar: The Last Airbender,2
13,21667900,310038,season-detail,2018-10-02 07:55:15,2018-10-02 07:55:15,Avatar: The Last Airbender,2
14,21667900,310039,season-detail,2018-10-02 07:55:16,2018-10-02 07:55:16,Avatar: The Last Airbender,2
15,21667900,310040,season-detail,2018-10-02 09:38:42,2018-10-02 09:38:42,Avatar: The Last Airbender,2
16,21667900,310041,season-detail,2018-10-02 09:11:16,2018-10-02 09:11:16,Avatar: The Last Airbender,2
17,21667900,310042,season-detail,2018-10-02 09:39:11,2018-10-02 09:39:11,Avatar: The Last Airbender,2
1,21667900,312688,season-detail,2018-10-02 12:45:54,2018-10-02 12:45:54,Avatar: The Last Airbender,3
2,21667900,312689,season-detail,2018-10-02 16:10:24,2018-10-02 16:10:24,Avatar: The Last Airbender,3
3,21667900,312690,season-detail,2018-10-02 16:10:26,2018-10-02 16:10:26,Avatar: The Last Airbender,3
4,21667900,312691,season-detail,2018-10-03 10:48:30,2018-10-03 10:48:30,Avatar: The Last Airbender,3
5,21667900,312692,season-detail,2018-10-03 10:48:37,2018-10-03 10:48:37,Avatar: The Last Airbender,3
6,21667900,312693,season-detail,2018-10-03 16:09:22,2018-10-03 16:09:22,Avatar: The Last Airbender,3
7,21667900,312694,season-detail,2018-10-03 16:09:23,2018-10-03 16:09:23,Avatar: The Last Airbender,3
8,21667900,312695,season-detail,2018-10-06 06:44:50,2018-10-06 06:44:50,Avatar: The Last Airbender,3
10,21667900,313409,season-detail,2018-12-04 04:42:44,2018-12-04 04:42:44,Rome,1
18,21667900,314752,season-detail,2018-10-02 10:46:51,2018-10-02 10:46:51,Avatar: The Last Airbender,2
19,21667900,314753,season-detail,2018-10-02 12:17:03,2018-10-02 12:17:03,Avatar: The Last Airbender,2
20,21667900,314754,season-detail,2018-10-02 12:17:04,2018-10-02 12:17:04,Avatar: The Last Airbender,2
11,21667900,318046,season-detail,2018-12-04 05:53:29,2018-12-04 05:53:29,Rome,1
12,21667900,323644,season-detail,2018-12-05 09:30:51,2018-12-05 09:30:51,Rome,1
1,21667900,371461,season-detail,2018-10-04 05:30:05,2018-10-04 05:30:05,True Blood,1
2,21667900,371462,season-detail,2018-10-04 09:13:43,2018-10-04 09:13:43,True Blood,1
3,21667900,371468,season-detail,2018-10-04 16:13:34,2018-10-04 16:13:34,True Blood,1
4,21667900,371469,season-detail,2018-10-05 04:17:23,2018-10-05 04:17:23,True Blood,1
5,21667900,371470,season-detail,2018-10-05 05:15:57,2018-10-05 05:15:57,True Blood,1
6,21667900,371471,season-detail,2018-10-05 06:10:26,2018-10-05 06:10:26,True Blood,1
7,21667900,371472,season-detail,2018-10-05 07:54:30,2018-10-05 07:54:30,True Blood,1
8,21667900,371473,season-detail,2018-10-05 09:37:54,2018-10-05 09:37:54,True Blood,1
9,21667900,371474,season-detail,2018-10-05 16:45:26,2018-10-05 16:45:26,True Blood,1
10,21667900,371475,season-detail,2018-10-06 05:07:41,2018-10-06 05:07:41,True Blood,1
11,21667900,371476,season-detail,2018-10-06 05:07:42,2018-10-06 05:07:42,True Blood,1
12,21667900,371477,season-detail,2018-10-06 09:08:28,2018-10-06 09:08:28,True Blood,1
1,21667900,532611,season-detail,2018-10-06 16:34:49,2018-10-06 16:34:49,True Blood,2
2,21667900,532621,season-detail,2018-10-08 16:20:56,2018-10-08 16:20:56,True Blood,2
3,21667900,532631,season-detail,2018-10-12 10:58:02,2018-10-12 10:58:02,True Blood,2
4,21667900,532641,season-detail,2018-10-14 13:08:34,2018-10-14 13:08:34,True Blood,2
1,21667900,2134861,season-detail,2018-07-31 08:26:24,2018-07-31 08:26:24,The Pillars of the Earth,1
2,21667900,2490181,season-detail,2018-07-31 08:26:24,2018-07-31 08:26:24,The Pillars of the Earth,1
3,21667900,2490251,season-detail,2018-08-01 09:02:57,2018-08-01 09:02:57,The Pillars of the Earth,1
4,21667900,2490301,season-detail,2018-08-01 09:03:00,2018-08-01 09:03:00,The Pillars of the Earth,1
1,21667900,4099506,season-detail,2018-07-10 16:23:27,2018-07-10 16:23:27,2 Broke Girls,1
1,21667900,4383243,season-detail,2018-07-13 16:25:40,2018-07-13 16:25:40,Vikings,1
2,21667900,4383244,season-detail,2018-07-14 11:08:17,2018-07-14 11:08:17,Vikings,1
3,21667900,4383245,season-detail,2018-07-14 12:26:04,2018-07-14 12:26:04,Vikings,1
4,21667900,4383246,season-detail,2018-07-14 16:56:25,2018-07-14 16:56:25,Vikings,1
5,21667900,4383248,season-detail,2018-07-15 04:48:46,2018-07-15 04:48:46,Vikings,1
6,21667900,4383252,season-detail,2018-07-15 05:27:03,2018-07-15 05:27:03,Vikings,1
7,21667900,4383257,season-detail,2018-07-15 09:25:33,2018-07-15 09:25:33,Vikings,1
8,21667900,4383260,season-detail,2018-07-15 10:15:26,2018-07-15 10:15:26,Vikings,1
9,21667900,4383261,season-detail,2018-07-16 11:20:43,2018-07-16 11:20:43,Vikings,1
1,21667900,4418485,season-detail,2018-08-08 07:59:53,2018-08-08 07:59:53,Black Mirror,2
3,21667900,4418486,season-detail,2018-08-08 13:09:18,2018-08-08 13:09:18,Black Mirror,2
2,21667900,4418487,season-detail,2018-08-08 08:47:04,2018-08-08 08:47:04,Black Mirror,2
1,21667900,4535538,season-detail,2018-10-30 13:38:48,2018-10-30 13:38:48,The Fosters (2013),1
1,21667900,4536810,season-detail,2018-07-12 16:11:32,2018-07-12 16:11:32,Penny Dreadful,1
1,21667900,4543295,season-detail,2018-09-13 09:26:55,2018-09-13 09:26:55,The 100,1
2,21667900,4558756,season-detail,2018-10-31 11:36:47,2018-10-31 11:36:47,The Fosters (2013),1
3,21667900,4558757,season-detail,2018-10-31 12:25:19,2018-10-31 12:25:19,The Fosters (2013),1
4,21667900,4558758,season-detail,2018-10-31 13:11:23,2018-10-31 13:11:23,The Fosters (2013),1
5,21667900,4558759,season-detail,2018-10-31 16:39:20,2018-10-31 16:39:20,The Fosters (2013),1
6,21667900,4559831,season-detail,2018-10-31 16:39:22,2018-10-31 16:39:22,The Fosters (2013),1
1,21667900,4569892,season-detail,2018-08-15 09:40:34,2018-08-15 09:40:34,The Originals,1
1,21667900,4600234,season-detail,2018-10-14 16:54:04,2018-10-14 16:54:04,Outlander,1
7,21667900,4601463,season-detail,2018-11-01 04:57:52,2018-11-01 04:57:52,The Fosters (2013),1
8,21667900,4603876,season-detail,2018-11-01 07:03:53,2018-11-01 07:03:53,The Fosters (2013),1
9,21667900,4603877,season-detail,2018-11-01 07:52:18,2018-11-01 07:52:18,The Fosters (2013),1
10,21667900,4615451,season-detail,2018-11-01 10:22:29,2018-11-01 10:22:29,The Fosters (2013),1
1,21667900,4626052,season-detail,2018-10-07 04:33:59,2018-10-07 04:33:59,The Affair,1
2,21667900,4634805,season-detail,2018-08-15 13:20:51,2018-08-15 13:20:51,The Originals,1
3,21667900,4634806,season-detail,2018-08-15 13:20:52,2018-08-15 13:20:52,The Originals,1
1,21667900,4645420,season-detail,2018-10-26 04:31:07,2018-10-26 04:31:07,Peaky Blinders,1
2,21667900,4652814,season-detail,2018-10-26 05:35:56,2018-10-26 05:35:56,Peaky Blinders,1
3,21667900,4656695,season-detail,2018-10-26 07:41:29,2018-10-26 07:41:29,Peaky Blinders,1
4,21667900,4660855,season-detail,2018-08-15 13:20:54,2018-08-15 13:20:54,The Originals,1
5,21667900,4660856,season-detail,2018-08-15 14:17:16,2018-08-15 14:17:16,The Originals,1
4,21667900,4664717,season-detail,2018-10-26 09:10:28,2018-10-26 09:10:28,Peaky Blinders,1
5,21667900,4664718,season-detail,2018-10-26 11:53:10,2018-10-26 11:53:10,Peaky Blinders,1
6,21667900,4678152,season-detail,2018-10-27 07:58:16,2018-10-27 07:58:16,Peaky Blinders,1
6,21667900,4689020,season-detail,2018-08-15 16:39:17,2018-08-15 16:39:17,The Originals,1
11,21667900,4692035,season-detail,2018-11-01 11:30:37,2018-11-01 11:30:37,The Fosters (2013),1
12,21667900,4692036,season-detail,2018-11-01 16:34:23,2018-11-01 16:34:23,The Fosters (2013),1
13,21667900,4692037,season-detail,2018-11-02 04:27:55,2018-11-02 04:27:55,The Fosters (2013),1
