tv_show_name,user_id,tv_show_id,last_action_timestamp,daily_score,weekly_score,monthly_score
Neon Genesis Evangelion,21667900,70350,1601366245,35,35,35
The Office (US),21667900,73244,1623896052,100,100,100
Rome,21667900,73508,1544002251,100,100,100
Band of Brothers,21667900,74205,1560555215,35,35,35
Avatar: The Last Airbender,21667900,74852,1538808290,100,100,100
Six Feet Under,21667900,75450,1559022085,35,35,35
Sex and the City,21667900,76648,1530025103,35,35,35
Dragon Ball,21667900,76666,1564290677,100,100,100
"Sabrina, The Teenage Witch",21667900,76876,1546706355,35,35,35
Angels in America,21667900,79311,1574402648,35,35,35
Death Note,21667900,79481,1591786526,100,100,100
The Tudors,21667900,79925,1563294052,35,35,35
Dragon Ball Z,21667900,81472,1564317764,100,100,100
Hung,21667900,82091,1574140704,100,100,100
True Blood,21667900,82283,1539522514,100,100,100
Toradora!,21667900,83277,1597557288,100,100,100
Fullmetal Alchemist: Brotherhood,21667900,85249,1600682867,100,100,100
Game of Thrones,21667900,121361,1558951515,100,100,100
The Pillars of the Earth,21667900,159431,1533114177,70,70,70
Suits,21667900,247808,1649037947,100,100,100
Homeland,21667900,247897,1588752630,100,100,100
2 Broke Girls,21667900,248741,1531239807,35,35,35
Hunter x Hunter (2011),21667900,252322,1614599359,100,100,100
Black Mirror,21667900,253463,1606013877,100,100,100
The Fall,21667900,258107,1614318454,100,100,100
Vikings,21667900,260449,1578473934,100,100,100
Black Sails,21667900,262407,1531131085,70,70,70
The Men Who Built America,21667900,262447,1545544813,100,100,100
House of Cards (US),21667900,262980,1596621186,100,100,100
Penny Dreadful,21667900,265766,1531480382,70,70,70
"That Winter, the Wind Blows",21667900,266362,1657710333,100,100,100
Broadchurch,21667900,266398,1615690927,100,100,100
The Originals,21667900,266883,1536770963,100,100,100
The Fosters (2013),21667900,267907,1543161682,100,100,100
Sense8,21667900,268156,1530444248,100,100,100
The 100,21667900,268592,1537695151,100,100,100
Quarry,21667900,269110,1587659728,100,100,100
Fargo,21667900,269613,1565412895,100,100,100
The Leftovers,21667900,269689,1636527323,100,100,100
Outlander,21667900,270408,1548587917,100,100,100
The Affair,21667900,270439,1539522402,100,100,100
True Detective,21667900,270633,1545557487,100,100,100
Peaky Blinders,21667900,270915,1540891253,100,100,100
Better Call Saul,21667900,273181,1716847320,100,100,100
Olive Kitteridge,21667900,276842,1560548524,100,100,100
Blue Spring Ride,21667900,279554,1598706419,100,100,100
Your Lie in April,21667900,279830,1598439830,100,100,100
The Knick,21667900,279977,1563206577,100,100,100
Poldark (2015),21667900,280582,1546360279,100,100,100
Marvel's Daredevil,21667900,281662,1624618589,100,100,100
BoJack Horseman,21667900,282254,1645135507,70,70,70
Narcos,21667900,282670,1530024204,35,35,35
Assassination Classroom,21667900,283947,1613803309,35,35,35
The Seven Deadly Sins,21667900,284131,1613652311,100,100,100
American Crime Story,21667900,289108,1538380160,100,100,100
The Night Manager,21667900,290508,1562689686,100,100,100
One-Punch Man,21667900,293088,1612860588,35,35,35
Lucifer,21667900,295685,1631439732,100,100,100
