episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
141245,2019-06-14 09:23:58,1,1,21667900,64814746,2019-06-14 09:23:58,,Band of Brothers
171362,2019-05-28 04:22:48,1,1,21667900,67502424,2019-05-28 04:22:48,,Six Feet Under
307266,2019-11-22 06:04:20,1,1,21667900,63892907,2019-11-22 06:04:17,,Angels in America
326715,2019-07-16 16:20:55,1,1,21667900,63731577,2019-07-16 16:20:55,,The Tudors
440752,2020-08-16 09:14:58,1,25,21667900,65099723,2020-08-16 09:14:58,,Toradora!
879161,2020-09-14 06:32:31,1,19,21667900,85451,2020-09-14 06:32:29,,Fullmetal Alchemist: Brotherhood
3941411,2021-06-17 02:10:43,7,22,21667900,65264240,2021-06-17 02:10:43,,The Office (US)
4063481,2018-10-29 05:56:26,1,9,21667900,63976056,2018-10-29 05:56:26,,Game of Thrones
4079947,2020-04-25 11:26:23,1,1,21667900,63511176,2020-04-25 11:26:23,,Homeland
4175251,2020-04-25 11:26:48,1,2,21667900,63511176,2020-04-25 11:26:48,,Homeland
4175252,2020-04-25 16:56:31,1,3,21667900,63511176,2020-04-25 16:56:31,,Homeland
4175253,2020-04-25 16:57:02,1,4,21667900,63511176,2020-04-25 16:57:02,,Homeland
4175254,2020-04-26 06:07:12,1,5,21667900,63511176,2020-04-26 06:07:12,,Homeland
4175255,2020-04-26 06:07:42,1,6,21667900,63511176,2020-04-26 06:07:36,,Homeland
4175256,2020-04-26 06:08:14,1,7,21667900,63511179,2020-04-26 06:08:10,,Homeland
4182830,2020-04-26 13:29:27,1,8,21667900,63511176,2020-04-26 13:29:26,,Homeland
4198125,2020-04-26 13:30:14,1,9,21667900,63511179,2020-04-26 13:30:14,,Homeland
4198126,2020-04-26 13:30:34,1,10,21667900,63511176,2020-04-26 13:30:34,,Homeland
4198127,2020-04-26 15:42:10,1,11,21667900,63511176,2020-04-26 15:42:10,,Homeland
4198128,2020-04-27 04:32:58,1,12,21667900,63511176,2020-04-27 04:32:58,,Homeland
4208116,2019-11-19 05:18:34,3,10,21667900,65250378,2019-11-19 05:18:34,,Hung
