count,expires_at,runtime,user_id,type
0,1743107534,0,21667900,month-2023-10
0,1743107534,0,21667900,month-2023-11
0,1743107534,0,21667900,month-2023-12
10,1743107533,31920,21667900,month-2023-3
3,1743107533,10620,21667900,month-2023-4
12,1743107533,42840,21667900,month-2023-5
1,1743107533,3660,21667900,month-2023-6
0,1743107533,0,21667900,month-2023-7
0,1743107533,0,21667900,month-2023-8
13,1743107534,38700,21667900,month-2023-9
0,1743107534,0,21667900,month-2024-1
45,1743107534,165360,21667900,month-2024-2
64,1743389212,268980,21667900,month-2024-3
1,1745796382,3540,21667900,month-2024-4
42,1748383321,119640,21667900,month-2024-5
5,1752836638,18600,21667900,month-2024-7
1,1754634984,3780,21667900,month-2024-8
0,1743107534,0,21667900,week-2024-1
17,1743107535,69960,21667900,week-2024-10
24,1743107535,100440,21667900,week-2024-11
12,1743107535,55620,21667900,week-2024-12
0,1743389212,0,21667900,week-2024-13
1,1745796382,3540,21667900,week-2024-17
18,1746980382,47640,21667900,week-2024-19
0,1743107534,0,21667900,week-2024-2
1,1747632679,3000,21667900,week-2024-20
0,1748220378,0,21667900,week-2024-21
0,1748383321,0,21667900,week-2024-22
1,1751990267,3720,21667900,week-2024-28
1,1752836638,3720,21667900,week-2024-29
0,1743107534,0,21667900,week-2024-3
2,1754065442,7440,21667900,week-2024-31
1,1754634984,3780,21667900,week-2024-32
0,1743107534,0,21667900,week-2024-4
0,1743107534,0,21667900,week-2024-5
2,1743107534,8040,21667900,week-2024-6
18,1743107534,68280,21667900,week-2024-7
22,1743107534,78240,21667900,week-2024-8
3,1743107534,10800,21667900,week-2024-9
