updated_at,tv_show_name,user_id,tv_show_id,poster_id,fanart_id,created_at
2021-06-04 11:38:56,The Office (US),21667900,73244,1039610,,2021-06-04 11:38:56
2018-12-31 14:39:02,Friends,21667900,79168,931086,,2018-12-31 14:39:02
2018-12-31 14:34:47,Breaking Bad,21667900,81189,952272,,2018-12-31 14:34:47
2018-12-31 14:33:04,Game of Thrones,21667900,121361,1068239,,2018-12-31 14:33:04
2018-12-31 14:40:06,Vikings,21667900,260449,1185198,,2018-12-31 14:40:06
2018-12-31 14:42:54,Outlander,21667900,270408,1077843,,2018-12-31 14:42:54
2020-08-25 07:59:21,Your Lie in April,21667900,279830,1139848,,2020-08-25 07:59:21
2018-12-31 14:30:16,Poldark (2015),21667900,280582,1066269,,2018-12-31 14:30:16
2018-12-31 14:37:44,Victoria,21667900,302205,1153278,,2018-12-31 14:37:44
2019-06-25 11:37:19,Stranger Things,21667900,305288,1153047,,2019-06-25 11:37:19
2018-12-31 14:41:10,This Is Us,21667900,311714,1179979,,2018-12-31 14:41:10
2018-12-31 14:35:51,The Marvelous Mrs. Maisel,21667900,326791,1320862,,2018-12-31 14:35:51
2018-12-31 14:36:47,Money Heist,21667900,327417,1255473,,2018-12-31 14:36:47
2019-01-01 10:44:50,MINDHUNTER,21667900,328708,1225553,,2019-01-01 10:44:50
2022-07-01 12:54:17,My Mister,21667900,341871,62933750,,2022-07-01 12:54:17
2020-08-16 10:27:03,Demon Slayer: Kimetsu no Yaiba,21667900,348545,1383188,,2020-08-16 10:27:03
2022-07-25 14:24:10,Familiar Wife,21667900,349512,1299778,,2022-07-25 14:24:10
2021-11-19 11:03:45,The Wheel of Time,21667900,355730,62850960,,2021-11-19 11:03:45
2021-02-06 12:57:23,Dr. STONE,21667900,355774,1372660,,2021-02-06 12:57:23
2024-03-12 17:20:23,The Light in Your Eyes,21667900,356591,63112950,,2024-03-12 17:20:23
2020-11-23 08:03:39,Vinland Saga,21667900,359274,1337792,,2020-11-23 08:03:39
2022-08-08 21:19:21,The Sandman,21667900,366211,63104784,,2022-08-08 21:19:21
2022-07-01 12:54:42,Crash Landing on You,21667900,368385,62367296,,2022-07-01 12:54:42
2021-06-02 13:00:58,Shadow and Bone,21667900,369844,62571207,,2021-06-02 13:00:58
2024-07-05 01:11:58,House of the Dragon,21667900,371572,63170047,,2024-07-05 01:11:58
2022-07-16 23:34:53,It's Okay to Not Be Okay,21667900,377955,62944134,,2022-07-16 23:34:53
2024-04-26 01:31:04,Shōgun,21667900,392573,63579852,,2024-04-26 01:31:04
2024-05-07 17:32:45,Baby Reindeer,21667900,417223,63927033,,2024-05-07 17:32:45
2022-08-08 21:19:38,Extraordinary Attorney Woo,21667900,419950,63128787,,2022-08-08 21:19:38
