nb_episodes_seen,tv_show_name,user_id,tv_show_id,is_followed,is_favorited
0,Neon Genesis Evangelion,21667900,70350,1,0
0,Twin Peaks,21667900,70533,1,0
0,Oz,21667900,70682,1,0
0,Deadwood,21667900,72023,1,0
0,One Tree Hill,21667900,72158,1,0
520,The Ellen DeGeneres Show,21667900,72194,0,0
0,Nip/Tuck,21667900,72201,1,0
0,Smallville,21667900,72218,1,0
0,Two and a Half Men,21667900,72227,1,0
152,The Office (US),21667900,73244,1,0
0,House,21667900,73255,1,0
12,Rome,21667900,73508,1,0
0,Lost,21667900,73739,1,0
0,Grey's Anatomy,21667900,73762,0,0
87,Desperate Housewives,21667900,73800,1,0
1,Band of Brothers,21667900,74205,1,0
45,Avatar: The Last Airbender,21667900,74852,1,0
0,The Sopranos,21667900,75299,1,0
0,Prison Break,21667900,75340,1,0
1,Six Feet Under,21667900,75450,1,0
208,How I Met Your Mother,21667900,75760,1,0
0,SpongeBob SquarePants,21667900,75886,0,0
0,Gilmore Girls,21667900,76568,1,0
3,Sex and the City,21667900,76648,1,0
39,Dragon Ball,21667900,76666,1,0
0,Pokémon,21667900,76703,0,0
0,"Sabrina, The Teenage Witch",21667900,76876,0,0
0,Doctor Who (2005),21667900,78804,1,0
0,Naruto,21667900,78857,1,0
0,Firefly,21667900,78874,1,0
0,Supernatural,21667900,78901,0,0
0,The Wire,21667900,79126,1,0
236,Friends,21667900,79168,1,1
0,Dragon Ball GT,21667900,79275,1,0
1,Angels in America,21667900,79311,1,0
0,North & South,21667900,79321,1,0
0,Dexter,21667900,79349,1,0
37,Death Note,21667900,79481,1,0
0,Jane Eyre (2006),21667900,79582,1,0
0,Naruto Shippuden,21667900,79824,1,0
1,The Tudors,21667900,79925,1,0
0,Mad Men,21667900,80337,1,0
0,The Big Bang Theory,21667900,80379,1,0
0,Gossip Girl,21667900,80547,1,0
104,Breaking Bad,21667900,81189,1,1
6,Dragon Ball Z,21667900,81472,1,0
0,Murdoch Mysteries,21667900,81670,0,0
0,One Piece,21667900,81797,1,0
0,Phineas and Ferb,21667900,81848,1,0
30,Hung,21667900,82091,1,0
0,Generation Kill,21667900,82109,1,0
15,True Blood,21667900,82283,1,0
0,90210,21667900,82716,0,0
0,Tess of the D'Urbervilles,21667900,83099,1,0
25,Toradora!,21667900,83277,1,0
0,The Diary of Anne Frank,21667900,84390,1,0
0,Parks and Recreation,21667900,84912,0,0
0,Boardwalk Empire,21667900,84947,1,0
66,Fullmetal Alchemist: Brotherhood,21667900,85249,1,0
0,Dragon Ball Kai,21667900,88031,1,0
0,The Staircase,21667900,92011,1,0
0,Modern Family,21667900,95011,1,0
0,The Vampire Diaries,21667900,95491,1,0
0,White Collar,21667900,108611,1,0
0,Fairy Tail,21667900,114801,1,0
74,Game of Thrones,21667900,121361,1,1
0,Pretty Little Liars,21667900,146711,1,0
0,The Walking Dead,21667900,153021,0,0
4,The Pillars of the Earth,21667900,159431,0,0
0,Luther,21667900,159591,1,0
0,Shameless (US),21667900,161511,1,0
0,Teen Wolf,21667900,175001,1,0
0,Sherlock,21667900,176941,1,0
0,The Borgias,21667900,187881,1,0
0,Downton Abbey,21667900,193131,1,0
0,The Killing (US),21667900,210171,1,0
5,Mildred Pierce,21667900,211681,1,0
0,Hell on Wheels,21667900,212961,1,0
0,Girls,21667900,220411,1,0
0,Veep,21667900,237831,1,0
0,Switched at Birth,21667900,247773,1,0
119,Suits,21667900,247808,1,0
36,Homeland,21667900,247897,1,0
0,Anohana: The Flower We Saw That Day,21667900,247958,1,0
0,New Girl,21667900,248682,1,0
1,2 Broke Girls,21667900,248741,1,0
0,Person of Interest,21667900,248742,1,0
0,Once Upon a Time (2011),21667900,248835,1,0
0,The Secret Circle,21667900,248884,1,0
0,The Red Band Society,21667900,248904,1,0
0,Touch (2012),21667900,248935,1,0
12,American Horror Story,21667900,250487,1,0
0,3%,21667900,250749,1,0
0,The Legend of Korra,21667900,251085,1,0
24,Hunter x Hunter (2011),21667900,252322,0,0
0,Guilty Crown,21667900,252471,1,0
0,Grand Hotel,21667900,252488,1,0
0,Top Boy,21667900,253138,1,0
9,Black Mirror,21667900,253463,1,0
0,Longmire,21667900,253491,1,0
0,American Gods,21667900,253573,1,0
0,Call the Midwife,21667900,255192,1,0
0,Birdsong,21667900,255250,1,0
0,Defiance,21667900,255326,1,0
0,Miss Fisher's Murder Mysteries,21667900,256352,1,0
0,Arrow,21667900,257655,0,0
17,The Fall,21667900,258107,1,0
0,Continuum,21667900,258171,1,0
0,Chicago Fire,21667900,258541,0,0
0,Hannibal,21667900,259063,1,0
0,Sword Art Online,21667900,259640,1,0
28,Da Vinci's Demons,21667900,259669,1,0
0,Hemlock Grove,21667900,259948,1,0
0,Orphan Black,21667900,260315,1,0
0,Top of the Lake,21667900,260320,1,0
69,Vikings,21667900,260449,1,1
0,Masters of Sex,21667900,261557,1,0
0,The Americans (2013),21667900,261690,1,0
2,Black Sails,21667900,262407,1,0
0,Bates Motel,21667900,262414,1,0
4,The Men Who Built America,21667900,262447,1,0
64,House of Cards (US),21667900,262980,1,1
0,The Returned,21667900,263677,1,0
0,Wentworth,21667900,264234,1,0
0,Under the Dome,21667900,264492,1,0
0,Orange Is the New Black,21667900,264586,1,0
0,Chosen,21667900,264954,1,0
0,Utopia,21667900,264991,1,0
113,Taarak Mehta Ka Ooltah Chashmah,21667900,265599,0,0
2,Penny Dreadful,21667900,265766,1,0
0,The White Queen,21667900,266092,1,0
0,The Blacklist,21667900,266189,1,0
8,"That Winter, the Wind Blows",21667900,266362,1,0
24,Broadchurch,21667900,266398,1,0
0,Rectify,21667900,266609,1,0
90,The Originals,21667900,266883,1,0
0,Mom,21667900,266967,1,0
0,Attack on Titan,21667900,267440,1,0
87,The Fosters (2013),21667900,267907,1,0
24,Sense8,21667900,268156,1,0
26,The 100,21667900,268592,0,0
8,Quarry,21667900,269110,1,0
0,The Musketeers,21667900,269159,1,0
0,Sleepy Hollow,21667900,269578,1,0
0,Brooklyn Nine-Nine,21667900,269586,1,0
0,Reign (2013),21667900,269602,1,0
0,Star-Crossed,21667900,269604,1,0
13,Fargo,21667900,269613,1,0
0,Betrayal,21667900,269647,1,0
0,Resurrection,21667900,269650,1,0
37,The Leftovers,21667900,269689,1,0
52,Outlander,21667900,270408,1,0
33,The Affair,21667900,270439,1,0
5,True Detective,21667900,270633,1,0
15,Peaky Blinders,21667900,270915,1,0
0,12 Monkeys,21667900,272644,1,0
41,Better Call Saul,21667900,273181,1,0
0,Looking,21667900,274337,1,0
0,Gotham,21667900,274431,1,0
0,Salem,21667900,274897,1,0
0,Anna Karenina (2013),21667900,276031,1,0
0,Rosemary's Baby,21667900,276147,0,0
0,Power,21667900,276562,1,0
4,Olive Kitteridge,21667900,276842,1,0
0,Silicon Valley,21667900,277165,1,0
0,Bosch,21667900,277928,1,0
0,Mozart in the Jungle,21667900,278335,1,0
0,Our Girl,21667900,278640,1,0
0,The Flash (2014),21667900,279121,1,0
0,Deadbeat,21667900,279392,1,0
0,Billions,21667900,279536,1,0
26,Blue Spring Ride,21667900,279554,1,0
23,Your Lie in April,21667900,279830,1,0
20,The Knick,21667900,279977,1,0
0,Prey (2014),21667900,280361,1,0
0,Happy Valley,21667900,280537,1,0
29,Poldark (2015),21667900,280582,1,0
0,The Expanse,21667900,280619,1,0
0,Younger,21667900,280706,1,0
0,Tokyo Ghoul,21667900,281249,1,0
0,Complications,21667900,281256,1,0
0,Tut,21667900,281367,1,0
0,Red Band Society (US),21667900,281532,1,0
0,Forever (2014),21667900,281535,1,0
0,The Whispers,21667900,281536,1,0
0,American Crime,21667900,281613,1,0
0,How to Get Away with Murder,21667900,281620,0,0
0,Jane the Virgin,21667900,281621,1,0
0,Over the Garden Wall,21667900,281643,1,0
38,Marvel's Daredevil,21667900,281662,1,0
0,Stalker,21667900,281697,1,0
0,Ballers,21667900,281714,1,0
0,Wolf Hall,21667900,281977,1,0
3,BoJack Horseman,21667900,282254,1,0
0,Flesh and Bone,21667900,282400,1,0
1,Narcos,21667900,282670,1,0
0,The Returned (US),21667900,283317,1,0
3,Assassination Classroom,21667900,283947,0,0
72,The Seven Deadly Sins,21667900,284131,0,0
0,Marvel's Jessica Jones,21667900,284190,1,0
0,Colony,21667900,284210,1,0
0,London Spy,21667900,286179,1,0
0,Bloodline,21667900,287314,1,0
0,The Royals (2015),21667900,288963,1,0
0,The Shannara Chronicles,21667900,289096,1,0
2,American Crime Story,21667900,289108,1,0
0,Mr. Robot,21667900,289590,1,0
0,The Jinx,21667900,289946,1,0
6,The Night Manager,21667900,290508,1,0
0,The Heavy Water War,21667900,290668,1,0
0,Fear the Walking Dead,21667900,290853,0,0
0,Humans,21667900,292124,1,0
0,Dark Matter,21667900,292174,1,0
0,Someone Like You,21667900,292420,0,0
0,Stitchers,21667900,292745,1,0
1,One-Punch Man,21667900,293088,1,0
0,Between,21667900,293194,1,0
0,Scream Queens,21667900,293302,1,0
0,Scream: The TV Series,21667900,294417,1,0
0,Recovery Road,21667900,294882,1,0
0,Dragon Ball Super,21667900,295068,1,0
0,Quantico,21667900,295515,1,0
0,Best Friends Whenever,21667900,295577,0,0
0,Blindspot,21667900,295647,1,0
0,Second Chance (2016),21667900,295684,1,0
164,Lucifer,21667900,295685,1,0
0,Limitless,21667900,295743,1,0
0,DC's Legends of Tomorrow,21667900,295760,0,0
40,The Man in the High Castle,21667900,295829,1,0
0,Shadowhunters,21667900,295837,1,0
0,Ash vs Evil Dead,21667900,296295,1,0
28,Westworld,21667900,296762,1,0
13,The Girlfriend Experience,21667900,297346,1,0
28,The Last Kingdom,21667900,298566,1,0
0,Master of None,21667900,298901,1,0
0,The Magicians (2015),21667900,299139,1,0
0,Project Mc²,21667900,299260,1,0
0,War & Peace (2016),21667900,299408,1,0
0,Doctor Foster,21667900,299845,1,0
0,And Then There Were None,21667900,299855,1,0
0,Sneaky Pete,21667900,300166,1,0
0,Versailles (2015),21667900,300280,1,0
0,Elise's Secret,21667900,300699,1,0
0,Dickensian,21667900,301224,1,0
0,River,21667900,301608,1,0
0,11.22.63,21667900,301824,1,0
17,Victoria,21667900,302205,1,0
12,Erased,21667900,303071,1,0
2,Making a Murderer,21667900,303210,1,0
0,Skam,21667900,303786,1,0
0,The Path,21667900,304196,1,0
0,Marvel's Luke Cage,21667900,304219,1,0
0,Animal Kingdom (2016),21667900,304262,1,0
0,My Hero Academia,21667900,305074,1,0
6,Crashing,21667900,305177,1,0
0,Slasher,21667900,305194,1,0
36,Stranger Things,21667900,305288,1,1
0,Descendants of the Sun,21667900,305327,1,0
0,Love,21667900,305378,1,0
41,The Crown,21667900,305574,1,0
0,Wynonna Earp,21667900,305582,1,0
14,Big Little Lies,21667900,305719,1,1
0,A Series of Unfortunate Events,21667900,306304,1,0
0,Thirteen,21667900,307636,1,0
0,Orange,21667900,307868,1,0
0,The Living and the Dead,21667900,308509,1,0
2,The Story of God with Morgan Freeman,21667900,308585,1,0
0,American Gothic (2016),21667900,309053,1,0
0,You Me Her,21667900,309130,1,0
0,Guilt (2016),21667900,309990,1,0
0,Dead of Summer,21667900,309992,1,0
8,The Night Of,21667900,310516,1,0
0,StartUp,21667900,310614,1,0
28,The Good Place,21667900,311711,1,0
0,Timeless (2016),21667900,311713,1,0
103,This Is Us,21667900,311714,1,1
0,Shooter,21667900,311900,1,0
0,Man with a Plan,21667900,311946,1,0
0,Riverdale,21667900,311954,0,0
0,Gilmore Girls: A Year in the Life,21667900,311987,1,0
3,Medici,21667900,313024,1,0
3,Better Things,21667900,313270,1,0
0,Z: The Beginning of Everything,21667900,313880,1,0
0,The Young Pope,21667900,313969,1,0
0,High Maintenance (2016),21667900,314324,1,0
0,The Collection,21667900,314374,1,0
24,Travelers (2016),21667900,314544,1,0
0,Divorce (2016),21667900,314599,1,0
12,Fleabag,21667900,314614,1,0
0,Insecure,21667900,314986,1,0
0,Channel Zero,21667900,315178,1,0
0,The Last Tycoon,21667900,315364,1,0
10,Eyewitness,21667900,315460,1,0
12,Kim's Convenience,21667900,315908,1,0
0,Mars (2016),21667900,316345,1,0
0,Goblin,21667900,317220,1,0
0,The Deuce,21667900,317728,1,0
0,Captive,21667900,317928,1,0
0,Marvel's Iron Fist,21667900,317953,1,0
5,Beyond,21667900,318106,0,0
0,Queen of Shadows,21667900,318209,1,0
0,White Nights,21667900,318666,1,0
12,Scum's Wish,21667900,318895,1,0
0,Strike,21667900,319742,1,0
19,Harlots,21667900,319861,1,0
3,Little Things,21667900,319895,1,0
0,Santa Clarita Diet,21667900,320450,1,0
0,Legion,21667900,320724,1,0
7,Confess,21667900,320874,1,0
8,The OA,21667900,321060,1,0
29,The Handmaid's Tale,21667900,321239,1,0
0,Ultimate Beastmaster,21667900,321372,1,0
0,Jamestown,21667900,322134,1,0
0,The Terror,21667900,322191,1,0
0,The White Princess,21667900,322212,1,0
0,Feud,21667900,322466,1,0
0,The Mantis,21667900,322885,1,0
0,Abstract: The Art of Design,21667900,322890,1,0
17,Anne with an E,21667900,322971,1,0
39,13 Reasons Why,21667900,323168,1,0
3,Babylon Berlin,21667900,323945,1,0
0,Clique,21667900,324488,1,0
0,The Bride of Habaek,21667900,324595,1,0
0,Stranger (2017),21667900,324596,1,0
0,Kiss Me First,21667900,324916,1,0
0,Salvation,21667900,325517,1,0
0,Manhunt (2017),21667900,326288,1,0
0,Marvel's The Defenders,21667900,326490,1,0
0,Riviera,21667900,326559,1,0
20,The Marvelous Mrs. Maisel,21667900,326791,1,1
15,The Sinner,21667900,326866,1,0
0,The Mist,21667900,326887,0,0
0,Somewhere Between,21667900,326987,1,0
0,Suburra: Blood on Rome,21667900,327138,1,0
0,The Keepers,21667900,327175,1,0
17,Better Than Us,21667900,327325,1,0
70,Money Heist,21667900,327417,1,1
10,Gypsy,21667900,328292,1,0
0,Happy!,21667900,328361,1,0
0,The Gifted,21667900,328552,1,0
0,The Resident,21667900,328569,1,0
0,Krypton,21667900,328599,1,0
0,The Crossing,21667900,328631,1,0
0,The Good Doctor,21667900,328634,1,0
0,The Alienist,21667900,328690,1,0
19,MINDHUNTER,21667900,328708,1,0
1,A Silent Voice,21667900,328719,1,0
0,Young Sheldon,21667900,328724,1,0
0,Dynasty (2017),21667900,328749,1,0
13,Life Sentence,21667900,328756,1,0
0,Castlevania,21667900,329065,1,0
44,Ozark,21667900,329089,1,0
0,The Forest,21667900,329204,1,0
6,Fearless (2017),21667900,329353,1,0
6,Alias Grace,21667900,329586,1,0
2,Violet Evergarden,21667900,330139,1,0
38,Atypical,21667900,330374,1,0
10,Absentia,21667900,330500,1,0
0,Castle Rock,21667900,331600,1,0
0,Morocco: Love in Times of War,21667900,331722,1,0
0,Marvel's The Punisher,21667900,331980,1,0
0,Marvel's Runaways,21667900,332027,1,0
0,Your name,21667900,332271,1,0
10,Altered Carbon,21667900,332331,1,0
0,Liar,21667900,332577,1,0
0,American Vandal,21667900,332828,1,0
0,Barry,21667900,333072,1,0
0,The Story of Diana,21667900,333114,1,0
0,Oasis,21667900,333672,1,0
7,Godless,21667900,333801,1,0
0,Gunpowder,21667900,334069,1,0
0,Greenhouse Academy,21667900,334366,1,0
4,Howards End,21667900,334451,1,0
0,The Confession Tapes,21667900,334680,1,0
10,Dark,21667900,334824,1,0
14,Just Between Lovers,21667900,335825,1,0
3,Collateral,21667900,336079,1,0
0,The Miniaturist,21667900,336081,1,0
11,Tom Clancy's Jack Ryan,21667900,336261,1,0
0,Little Women (2017),21667900,336460,1,0
16,The End of the F***ing World,21667900,336522,1,0
0,The Chi,21667900,336602,1,0
72,You,21667900,336924,1,0
24,DARLING in the FRANXX,21667900,337017,1,0
0,Erased (2017),21667900,337206,1,0
2,Counterpart,21667900,337302,1,0
0,9-1-1,21667900,337907,1,0
37,Succession,21667900,338186,1,0
0,Here and Now (2018),21667900,338798,1,0
5,Patrick Melrose,21667900,338946,1,0
6,Chilling Adventures of Sabrina,21667900,338947,1,0
0,B: The Beginning,21667900,339353,1,0
0,The Truth About the Harry Quebert Affair,21667900,339464,1,0
0,Sweetbitter,21667900,339512,1,0
0,Seven Seconds,21667900,339602,1,0
0,Disenchantment,21667900,340234,1,0
19,Killing Eve,21667900,340959,1,1
0,Yellowstone (2018),21667900,341164,1,0
0,Everything Sucks!,21667900,341282,1,0
0,Safe (2018),21667900,341291,1,0
0,Requiem,21667900,341477,1,0
0,Queer Eye,21667900,341614,1,0
0,The Rain,21667900,341704,1,0
0,The Miracle (2018),21667900,341784,1,0
13,My Mister,21667900,341871,1,0
0,Wild Wild Country,21667900,342040,1,0
10,Something in the Rain,21667900,342849,1,0
0,The Innocents,21667900,342883,1,0
10,Lost in Space (2018),21667900,343253,1,0
1,Sacred Games,21667900,343435,0,0
6,The Little Drummer Girl,21667900,344141,1,0
0,Skam Italy,21667900,344216,1,0
9,My Brilliant Friend,21667900,344626,1,0
0,Ordeal by Innocence,21667900,344813,1,0
0,Angels of Death,21667900,344844,1,0
29,The Haunting,21667900,345246,1,0
13,Rascal Does Not Dream of Bunny Girl Senpai,21667900,345596,1,0
0,Elite,21667900,346328,0,0
0,November 13: Attack on Paris,21667900,346357,1,0
10,Sharp Objects,21667900,346602,1,0
0,Evil Genius,21667900,347033,1,0
0,Unfaithful,21667900,347105,1,0
2,Hymn of Death,21667900,347246,1,0
0,The House of Flowers,21667900,347325,1,0
1,Nightflyers,21667900,347648,0,0
0,Light as a Feather,21667900,347708,1,0
0,The Hollow (2018),21667900,347726,1,0
0,The Promised Neverland,21667900,348002,1,0
0,The ABC Murders,21667900,348026,1,0
0,All American,21667900,348200,0,0
1,Gentleman Jack,21667900,348443,1,0
0,Memories of the Alhambra,21667900,348488,1,0
55,Demon Slayer: Kimetsu no Yaiba,21667900,348545,1,0
22,,21667900,349078,1,0
3,Legacies,21667900,349309,1,0
6,Bodyguard (2018),21667900,349310,1,0
