episode_number,user_id,episode_id,watched_on_source_id,created_at,updated_at,tv_show_name,episode_season_number
1,21667900,141245,1,2019-06-14 09:24:01,2019-06-14 09:24:01,Band of Brothers,1
1,21667900,155935,1,2018-09-24 16:18:57,2018-09-24 16:18:57,Avatar: The Last Airbender,1
1,21667900,171362,1,2019-05-28 04:22:53,2019-05-28 04:22:53,Six Feet Under,1
1,21667900,307266,1,2019-11-22 06:04:22,2019-11-22 06:04:22,Angels in America,1
1,21667900,501751,3,2020-09-08 17:01:18,2020-09-08 17:01:18,Fullmetal Alchemist: Brotherhood,1
1,21667900,3254641,1,2018-07-10 16:22:42,2018-07-10 16:22:42,Game of Thrones,1
1,21667900,4077754,1,2022-03-07 03:15:13,2022-03-07 03:15:13,Suits,1
1,21667900,4079947,1,2020-04-25 11:26:25,2020-04-25 11:26:25,Homeland,1
2,21667900,4175251,1,2020-04-25 11:26:49,2020-04-25 11:26:49,Homeland,1
3,21667900,4175252,1,2020-04-25 16:56:32,2020-04-25 16:56:32,Homeland,1
4,21667900,4175253,1,2020-04-25 16:57:03,2020-04-25 16:57:03,Homeland,1
5,21667900,4175254,1,2020-04-26 06:07:14,2020-04-26 06:07:14,Homeland,1
6,21667900,4175255,1,2020-04-26 06:07:43,2020-04-26 06:07:43,Homeland,1
7,21667900,4175256,1,2020-04-26 06:08:15,2020-04-26 06:08:15,Homeland,1
8,21667900,4182830,1,2020-04-26 13:29:28,2020-04-26 13:29:28,Homeland,1
9,21667900,4198125,1,2020-04-26 13:30:14,2020-04-26 13:30:14,Homeland,1
10,21667900,4198126,1,2020-04-26 13:30:34,2020-04-26 13:30:34,Homeland,1
11,21667900,4198127,1,2020-04-26 15:42:10,2020-04-26 15:42:10,Homeland,1
12,21667900,4198128,1,2020-04-27 04:33:00,2020-04-27 04:33:00,Homeland,1
10,21667900,4208116,1,2019-11-19 05:18:35,2019-11-19 05:18:35,Hung,3
1,21667900,4303747,1,2020-04-28 06:00:38,2020-04-28 06:00:38,Homeland,2
2,21667900,4333794,1,2020-04-28 06:01:05,2020-04-28 06:01:05,Homeland,2
3,21667900,4333795,1,2020-04-28 06:01:20,2020-04-28 06:01:20,Homeland,2
4,21667900,4336562,1,2020-04-28 06:01:39,2020-04-28 06:01:39,Homeland,2
6,21667900,4366700,1,2020-04-28 09:32:17,2020-04-28 09:32:17,Homeland,2
7,21667900,4366701,1,2020-04-28 10:29:57,2020-04-28 10:29:57,Homeland,2
5,21667900,4376938,1,2020-04-28 09:31:44,2020-04-28 09:31:44,Homeland,2
8,21667900,4382125,1,2020-04-28 13:17:40,2020-04-28 13:17:40,Homeland,2
9,21667900,4382126,1,2020-04-29 03:48:19,2020-04-29 03:48:19,Homeland,2
